,tweet_id,favorite_count,retweet_count
328,833722901757046785,20766,3205
329,833479644947025920,14819,2044
330,833124694597443584,20163,4819
331,832998151111966721,13236,2194
332,832769181346996225,0,39
333,832757312314028032,16841,3607
334,832682457690300417,11859,2901
335,832645525019123713,2917,530
336,832636094638288896,15822,2771
337,832397543355072512,11952,2216
338,832369877331693569,17169,3172
339,832273440279240704,11348,2334
340,832215909146226688,0,6192
341,832215726631055365,0,9296
342,832088576586297345,62,2
343,832040443403784192,0,9603
344,832032802820481025,17850,4644
345,831939777352105988,23970,6119
346,831926988323639298,335,34
347,831911600680497154,27591,6489
348,831670449226514432,10424,1812
349,831650051525054464,7125,1924
350,831552930092285952,8971,2310
351,831322785565769729,9273,1548
352,831315979191906304,6539,1126
353,831309418084069378,11763,2463
354,831262627380748289,11907,2042
355,830956169170665475,7967,1497
356,830583320585068544,66814,16738
357,830173239259324417,0,5676
358,830097400375152640,9793,2934
359,829878982036299777,0,5007
360,829861396166877184,12247,1940
361,829501995190984704,31752,10580
362,829449946868879360,10475,2017
363,829374341691346946,0,0
364,829141528400556032,24407,7338
365,829011960981237760,53192,16296
366,828801551087042563,0,3420
367,828770345708580865,25603,5860
368,828708714936930305,36540,11174
369,828650029636317184,9505,1346
370,828409743546925057,6351,1164
371,828408677031882754,7687,1291
372,828381636999917570,12592,2214
373,828376505180889089,7387,1071
374,828372645993398273,12585,2937
375,828361771580813312,2197,172
376,828046555563323392,11757,2877
377,828011680017821696,10369,2151
378,827933404142436356,20130,5248
379,827653905312006145,15536,3024
380,827600520311402496,7460,945
381,827324948884643840,15878,3052
382,827228250799742977,0,0
383,827199976799354881,10593,2220
384,826958653328592898,21622,5007
385,826848821049180160,36437,10181
386,826615380357632002,0,3995
387,826598799820865537,5137,252
388,826598365270007810,10083,2340
389,826476773533745153,18448,4198
390,826240494070030336,13334,2618
391,826204788643753985,4897,926
392,826115272272650244,15690,3120
393,825876512159186944,10517,1873
394,825829644528148480,12780,2496
395,825535076884762624,57053,17608
396,825147591692263424,18348,4560
397,825120256414846976,0,1258
398,825026590719483904,6327,1258
399,824796380199809024,0,5509
400,824775126675836928,14959,3526
401,824663926340194305,10564,1780
402,824325613288833024,11881,10559
403,824297048279236611,15113,3875
404,824025158776213504,4846,603
405,823939628516474880,10666,2717
406,823719002937630720,0,11238
407,823699002998870016,14040,2532
408,823581115634085888,13085,2632
409,823333489516937216,703,25
410,823322678127919110,15800,4038
411,823269594223824897,0,9928
412,822975315408461824,17403,3465
413,822872901745569793,132206,43439
414,822859134160621569,13327,2286
415,822647212903690241,0,6435
416,822610361945911296,14893,2971
417,822489057087389700,18251,6435
418,822462944365645825,28175,14382
419,822244816520155136,35122,9928
420,822163064745328640,0,4791
421,821886076407029760,11377,2321
422,821813639212650496,0,3377
423,821765923262631936,8461,1668
424,821522889702862852,8072,1767
425,821421320206483457,0,5620
426,821407182352777218,11837,4357
427,821153421864615936,257,10
428,821149554670182400,8692,1993
429,821107785811234820,9661,2146
430,821044531881721856,12740,2299
431,820837357901512704,0,6775
432,820749716845686786,31747,9948
